dataset\256_ObjectCategories\001.ak47\001_0001.jpg,2242536623056557824
dataset\256_ObjectCategories\001.ak47\001_0002.jpg,9223600890194696192
dataset\256_ObjectCategories\001.ak47\001_0003.jpg,9260041180011433984
dataset\256_ObjectCategories\001.ak47\001_0004.jpg,13287233622323699712
dataset\256_ObjectCategories\001.ak47\001_0005.jpg,5190495998059029504
dataset\256_ObjectCategories\001.ak47\001_0006.jpg,101304551272640832
dataset\256_ObjectCategories\001.ak47\001_0007.jpg,2250488195489409792
dataset\256_ObjectCategories\001.ak47\001_0008.jpg,15439125562890997760
dataset\256_ObjectCategories\001.ak47\001_0009.jpg,5571329135341825024
dataset\256_ObjectCategories\001.ak47\001_0010.jpg,6030156432972668928
dataset\256_ObjectCategories\001.ak47\001_0011.jpg,4054385588425157632
dataset\256_ObjectCategories\001.ak47\001_0012.jpg,37331306737079424
dataset\256_ObjectCategories\001.ak47\001_0013.jpg,1018683322886929920
dataset\256_ObjectCategories\001.ak47\001_0014.jpg,4591904430287625
dataset\256_ObjectCategories\001.ak47\001_0015.jpg,9782816515887040512
dataset\256_ObjectCategories\001.ak47\001_0016.jpg,9024871236370432
dataset\256_ObjectCategories\001.ak47\001_0017.jpg,9531100217862803456
dataset\256_ObjectCategories\001.ak47\001_0018.jpg,5212971598254779392
dataset\256_ObjectCategories\001.ak47\001_0019.jpg,510968424190247680
dataset\256_ObjectCategories\001.ak47\001_0020.jpg,9606056018041358336
dataset\256_ObjectCategories\001.ak47\001_0021.jpg,1310591478154287360
dataset\256_ObjectCategories\001.ak47\001_0022.jpg,4525670267355136
dataset\256_ObjectCategories\001.ak47\001_0023.jpg,2613961437990879232
dataset\256_ObjectCategories\001.ak47\001_0024.jpg,1663824182242919168
dataset\256_ObjectCategories\001.ak47\001_0025.jpg,2305860773366202368
dataset\256_ObjectCategories\001.ak47\001_0026.jpg,4659222265738252
dataset\256_ObjectCategories\001.ak47\001_0027.jpg,1441445802590930176
dataset\256_ObjectCategories\001.ak47\001_0028.jpg,1663929049914673920
dataset\256_ObjectCategories\001.ak47\001_0029.jpg,146248585174892544
dataset\256_ObjectCategories\001.ak47\001_0030.jpg,5077605131796480
dataset\256_ObjectCategories\001.ak47\001_0031.jpg,9645261221560320
dataset\256_ObjectCategories\001.ak47\001_0032.jpg,2501118784221634048
dataset\256_ObjectCategories\001.ak47\001_0033.jpg,18225782848229632
dataset\256_ObjectCategories\001.ak47\001_0034.jpg,5302553365394788352
dataset\256_ObjectCategories\001.ak47\001_0035.jpg,1767989448104767488
dataset\256_ObjectCategories\001.ak47\001_0036.jpg,1157601750347470848
dataset\256_ObjectCategories\001.ak47\001_0037.jpg,1952193578334858240
dataset\256_ObjectCategories\001.ak47\001_0038.jpg,3298170481304532480
dataset\256_ObjectCategories\001.ak47\001_0039.jpg,18214200676352
dataset\256_ObjectCategories\001.ak47\001_0040.jpg,8157889740367410176
dataset\256_ObjectCategories\001.ak47\001_0041.jpg,1110920134656
dataset\256_ObjectCategories\001.ak47\001_0042.jpg,13712984432937545728
dataset\256_ObjectCategories\001.ak47\001_0043.jpg,36099391065031424
dataset\256_ObjectCategories\001.ak47\001_0044.jpg,299087389249765888
dataset\256_ObjectCategories\001.ak47\001_0045.jpg,10557229490147663872
dataset\256_ObjectCategories\001.ak47\001_0046.jpg,804471730391565312
dataset\256_ObjectCategories\001.ak47\001_0047.jpg,579288757566988160
dataset\256_ObjectCategories\001.ak47\001_0048.jpg,1175520149685048320
dataset\256_ObjectCategories\001.ak47\001_0049.jpg,1180193862441245184
dataset\256_ObjectCategories\001.ak47\001_0050.jpg,803728769798081024
dataset\256_ObjectCategories\001.ak47\001_0051.jpg,147815190938279936
dataset\256_ObjectCategories\001.ak47\001_0052.jpg,1376778692280536832
dataset\256_ObjectCategories\001.ak47\001_0053.jpg,2310672434809294848
dataset\256_ObjectCategories\001.ak47\001_0054.jpg,5856107990312583168
dataset\256_ObjectCategories\001.ak47\001_0055.jpg,113245730798651392
dataset\256_ObjectCategories\001.ak47\001_0056.jpg,167279204482165312
dataset\256_ObjectCategories\001.ak47\001_0057.jpg,6202180011891305472
dataset\256_ObjectCategories\001.ak47\001_0058.jpg,1596684926400677376
dataset\256_ObjectCategories\001.ak47\001_0059.jpg,217055833719046144
dataset\256_ObjectCategories\001.ak47\001_0060.jpg,1312010878363717632
dataset\256_ObjectCategories\001.ak47\001_0061.jpg,2667332076230036992
dataset\256_ObjectCategories\001.ak47\001_0062.jpg,35199823904768
dataset\256_ObjectCategories\001.ak47\001_0063.jpg,5125379043132256256
dataset\256_ObjectCategories\001.ak47\001_0064.jpg,889974544945375872
dataset\256_ObjectCategories\001.ak47\001_0065.jpg,7369139317019579392
dataset\256_ObjectCategories\001.ak47\001_0066.jpg,1085173012984434432
dataset\256_ObjectCategories\001.ak47\001_0067.jpg,5417647193157621760
dataset\256_ObjectCategories\001.ak47\001_0068.jpg,284799687213184
dataset\256_ObjectCategories\001.ak47\001_0069.jpg,13857631115101536256
dataset\256_ObjectCategories\001.ak47\001_0070.jpg,509774363204522240
dataset\256_ObjectCategories\001.ak47\001_0071.jpg,5865557476598557696
dataset\256_ObjectCategories\001.ak47\001_0072.jpg,4521415152818689
dataset\256_ObjectCategories\001.ak47\001_0073.jpg,36103718764545536
dataset\256_ObjectCategories\001.ak47\001_0074.jpg,11853619649692663808
dataset\256_ObjectCategories\001.ak47\001_0075.jpg,12363448219960313856
dataset\256_ObjectCategories\001.ak47\001_0076.jpg,2716880646693159936
dataset\256_ObjectCategories\001.ak47\001_0077.jpg,1083990181300211456
dataset\256_ObjectCategories\001.ak47\001_0078.jpg,289357526197657600
dataset\256_ObjectCategories\001.ak47\001_0079.jpg,9259621356018337792
dataset\256_ObjectCategories\001.ak47\001_0080.jpg,290636728624581952
dataset\256_ObjectCategories\001.ak47\001_0081.jpg,792970083040365312
dataset\256_ObjectCategories\001.ak47\001_0082.jpg,8145416426180008960
dataset\256_ObjectCategories\001.ak47\001_0083.jpg,4211768649621691392
dataset\256_ObjectCategories\001.ak47\001_0084.jpg,15326774108287850496
dataset\256_ObjectCategories\001.ak47\001_0085.jpg,1175633472326563840
dataset\256_ObjectCategories\001.ak47\001_0086.jpg,8265742370350977024
dataset\256_ObjectCategories\001.ak47\001_0087.jpg,4975954755584
dataset\256_ObjectCategories\001.ak47\001_0088.jpg,1019506132992235392
dataset\256_ObjectCategories\001.ak47\001_0089.jpg,8831946260480
dataset\256_ObjectCategories\001.ak47\001_0090.jpg,8063933320191166464
dataset\256_ObjectCategories\001.ak47\001_0091.jpg,6780202948626115584
dataset\256_ObjectCategories\001.ak47\001_0092.jpg,648518389685288960
dataset\256_ObjectCategories\001.ak47\001_0093.jpg,86170995357941888
dataset\256_ObjectCategories\001.ak47\001_0094.jpg,1736157866137725440
dataset\256_ObjectCategories\001.ak47\001_0095.jpg,7119428879856644
dataset\256_ObjectCategories\001.ak47\001_0096.jpg,1660893030961418496
dataset\256_ObjectCategories\001.ak47\001_0097.jpg,10066831977799026688
dataset\256_ObjectCategories\001.ak47\001_0098.jpg,7659015665027992576
